,INSTNM,WEBADDR,DISAURL
62,California State University Maritime Academy,https://www.csum.edu/sitemap.xml,https://www.csum.edu/disability-services/sitemap.xml
63,Cypress College,https://www.cypresscollege.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.cypresscollege.edu/services/disability-support-services-dss/sitemap.xml: 404 Client Error: Not Found for url: https://www.cypresscollege.edu/services/disability-support-services-dss/sitemap.xml
64,Feather River Community College District,An error occurred while accessing sitemap of https://www.frc.edu/sitemap.xml: 404 Client Error: Not Found for url: https://www.frc.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.frc.edu/dsps/index/sitemap.xml: 404 Client Error: Not Found for url: https://www.frc.edu/dsps/index/sitemap.xml
65,Foothill College,"An error occurred while accessing sitemap of https://foothill.edu is not a valid website./sitemap.xml: HTTPSConnectionPool(host='foothill.edu%20is%20not%20a%20valid%20website.', port=443): Max retries exceeded with url: /sitemap.xml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x108db6d50>: Failed to resolve 'foothill.edu%20is%20not%20a%20valid%20website' ([Errno 8] nodename nor servname provided, or not known)""))",An error occurred while accessing sitemap of https://foothill.edu/drc is not a valid website./sitemap.xml: 403 Client Error: Forbidden for url: https://foothill.edu/drc%20is%20not%20a%20valid%20website./sitemap.xml
66,California State Polytechnic University-Humboldt,https://www.humboldt.edu/sitemap.xml,An error occurred while accessing sitemap of https://disability.humboldt.edu/sitemap.xml: 404 Client Error: Not Found for url: https://www.humboldt.edu/cdrc/sitemap.xml
67,MiraCosta College,https://www.miracosta.edu/sitemap.xml,https://www.miracosta.edu/student-services/sas/index.html/sitemap.xml
68,Modesto Junior College,https://www.mjc.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.mjc.edu/studentservices/disability/index.php is not a valid website./sitemap.xml: 404 Client Error: Not Found for url: https://www.mjc.edu/studentservices/disability/index.php%20is%20not%20a%20valid%20website./sitemap.xml
69,Naval Postgraduate School,https://www.nps.edu/sitemap.xml,An error occurred while accessing sitemap of https://my.nps.edu/web/gwc/special-needs-reasonable-accommodation/sitemap.xml: 404 Client Error: 404 for url: https://nps.edu/web/gwc/special-needs-reasonable-accommodation/sitemap.xml
70,Santa Ana College,An error occurred while accessing sitemap of https://www.sac.edu/sitemap.xml: 404 Client Error: NOT FOUND for url: https://www.sac.edu/sitemap.xml,https://www.sac.edu/StudentServices/DSPS/Pages/default.aspx/sitemap.xml
71,Rio Hondo College,"An error occurred while accessing sitemap of http://www.riohondo.edu is not a valid website/sitemap.xml: HTTPConnectionPool(host='www.riohondo.edu%20is%20not%20a%20valid%20website', port=80): Max retries exceeded with url: /sitemap.xml (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x108ddbbd0>: Failed to resolve 'www.riohondo.edu%20is%20not%20a%20valid%20website' ([Errno 8] nodename nor servname provided, or not known)""))",An error occurred while accessing sitemap of http://www.riohondo.edu/dsps is not a valid website/sitemap.xml: 403 Client Error: Forbidden for url: http://www.riohondo.edu/dsps%20is%20not%20a%20valid%20website/sitemap.xml
72,San Diego Mesa College,https://www.sdmesa.edu/sitemap.xml,https://www.sdmesa.edu/student-support/disability-services/index.shtml/sitemap.xml
73,San Diego State University,An error occurred while accessing sitemap of https://www.sdsu.edu/sitemap.xml: 404 Client Error: Not Found for url: https://www.sdsu.edu/sitemap.xml,An error occurred while accessing sitemap of https://go.sdsu.edu/student_affairs/sds/Default.aspx/sitemap.xml: 404 Client Error: Not Found for url: https://sds.sdsu.edu/Default.aspx/sitemap.xml.aspx?utm_source=go&utm_medium=redirect&utm_campaign=go.sdsu.edu
74,San Francisco State University,https://www.sfsu.edu/sitemap.xml,An error occurred while accessing sitemap of https://access.sfsu.edu/sitemap.xml: 404 Client Error: Not Found for url: https://access.sfsu.edu/sitemap.xml
75,San Jose State University,https://www.sjsu.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.sjsu.edu/aec/sitemap.xml: 404 Client Error: Not Found for url: https://www.sjsu.edu/aec/sitemap.xml
76,Santa Monica College,https://www.smc.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.smc.edu/student-support/center-for-students-with-disabilities/sitemap.xml: 404 Client Error: Not Found for url: https://www.smc.edu/404.php
